File name	Line	Function	Duration[ms]	Explored nodes
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\App.g.cs	47	_Domino.App.InitializeComponent$$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\App.g.cs	72	_Domino.App.Main$$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\CambiarContraseñaWindow.g.cs	83	_Domino.CambiarContrase.F1aWindow.InitializeComponent$$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\CambiarContraseñaWindow.xaml.cs	25	_Domino.CambiarContrase.F1aWindow.ClickCancel$object.System.Windows.RoutedEventArgs$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\GameWindow.g.cs	275	_Domino.GameWindow.InitializeComponent$$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	55	_Domino.GameWindow.ReciveNewMember$string$	0	17
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	97	_Domino.GameWindow.ReciveMembersInGame$string$$$	13	403
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	179	_Domino.GameWindow.SomeoneTookATile$string$	0	12
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	319	_Domino.GameWindow.EnablePossibleTiles$int$$$	54	653
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	364	_Domino.GameWindow.GetDominoes$string$$$	0	36
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	528	_Domino.GameWindow.SomeoneWonTheRound$string$	0	8
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	547	_Domino.GameWindow.ReciveMessage$string.string$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	554	_Domino.GameWindow.ClickIconChat$object.System.EventArgs$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	568	_Domino.GameWindow.IsEnter$object.System.Windows.Input.KeyEventArgs$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	584	_Domino.GameWindow.ClickGoBackToMenu$object.System.EventArgs$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	591	_Domino.GameWindow.ClickExit$object.System.EventArgs$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\JugarMultijugadorWindow.g.cs	131	_Domino.JugarMultijugadorWindow.InitializeComponent$$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	55	_Domino.JugarMultijugadorWindow.ClickGoBack$object.System.Windows.RoutedEventArgs$	0	3
