File name	Line	Function	Duration[ms]	Explored nodes
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\App.g.cs	47	_Domino.App.InitializeComponent$$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\App.g.cs	72	_Domino.App.Main$$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\CambiarContraseñaWindow.g.cs	83	_Domino.CambiarContrase.F1aWindow.InitializeComponent$$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\CambiarContraseñaWindow.xaml.cs	25	_Domino.CambiarContrase.F1aWindow.ClickCancel$object.System.Windows.RoutedEventArgs$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\GameWindow.g.cs	275	_Domino.GameWindow.InitializeComponent$$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	88	_Domino.GameWindow.ReciveMembersInGame$string$$$	6	403
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	96	_Domino.GameWindow.SomeonePutATile$string.string.bool$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	146	_Domino.GameWindow.ChoseLeftOrRight$bool.bool.int.int.System.Windows.Controls.Image$	0	11
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	169	_Domino.GameWindow.DrawInLeft$int.int.System.Windows.Controls.Image$	0	13
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	185	_Domino.GameWindow.DrawInRight$int.int.System.Windows.Controls.Image$	0	13
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	203	_Domino.GameWindow.RemoveTileFromPlayer$string$	0	9
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	216	_Domino.GameWindow.SomeoneTookATile$string$	0	12
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	274	_Domino.GameWindow.ThisIsNotMule$string$	0	6
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	286	_Domino.GameWindow.ThisIsMule$int$	0	6
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	364	_Domino.GameWindow.EnablePossibleTiles$int$$$	24	653
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	409	_Domino.GameWindow.GetDominoes$string$$$	0	36
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	510	_Domino.GameWindow.TakeTileFromTheHand$int$	14	1059
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	532	_Domino.GameWindow.SomeoneWonTheRound$string$	0	8
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\GameWindow.xaml.cs	551	_Domino.GameWindow.ReciveMessage$string.string$	0	3
